Ld(0)/St(1)                   PC   Reference    Inf-miss FA-OPT-miss SA-OPT-miss SA-LRU-miss         Hit    Cap-miss    Map-miss   Repl-miss   Cold-miss    Function       Image Hit-not-MRU     Hit-MRU
          0       97094188072968           1           0           0           0           0           1           0           0           0           0       _init matrixMultSimple           1           0
          1       97094188072968           0           0           0           0           0           0           0           0           0           0       _init matrixMultSimple           0           0
          0       97094188072986           1           0           0           0           0           1           0           0           0           0       _init matrixMultSimple           1           0
          1       97094188072986           0           0           0           0           0           0           0           0           0           0       _init matrixMultSimple           0           0
          0       97094188073060           1           0           0           0           0           1           0           0           0           0    .plt.got matrixMultSimple           1           0
          1       97094188073060           0           0           0           0           0           0           0           0           0           0    .plt.got matrixMultSimple           0           0
          0       97094188073092           1           0           0           0           0           1           0           0           0           0    .plt.sec matrixMultSimple           1           0
          1       97094188073092           0           0           0           0           0           0           0           0           0           0    .plt.sec matrixMultSimple           0           0
          0       97094188073108           1           0           0           0           0           1           0           0           0           0    .plt.sec matrixMultSimple           1           0
          1       97094188073108           0           0           0           0           0           0           0           0           0           0    .plt.sec matrixMultSimple           0           0
          0       97094188073129           1           0           0           0           0           1           0           0           0           0      _start matrixMultSimple           0           1
          1       97094188073129           0           0           0           0           0           0           0           0           0           0      _start matrixMultSimple           0           0
          0       97094188073137           0           0           0           0           0           0           0           0           0           0      _start matrixMultSimple           0           0
          1       97094188073137           1           0           0           0           0           1           0           0           0           0      _start matrixMultSimple           0           1
          0       97094188073138           0           0           0           0           0           0           0           0           0           0      _start matrixMultSimple           0           0
          1       97094188073138           1           0           0           0           0           1           0           0           0           0      _start matrixMultSimple           0           1
          0       97094188073151           1           0           0           0           0           1           0           0           0           0      _start matrixMultSimple           1           0
          1       97094188073151           1           0           0           0           0           1           0           0           0           0      _start matrixMultSimple           1           0
          0       97094188073208           1           0           0           0           0           1           0           0           0           0 deregister_tm_clones matrixMultSimple           0           1
          1       97094188073208           0           0           0           0           0           0           0           0           0           0 deregister_tm_clones matrixMultSimple           0           0
          0       97094188073272           1           0           0           0           0           1           0           0           0           0 register_tm_clones matrixMultSimple           0           1
          1       97094188073272           0           0           0           0           0           0           0           0           0           0 register_tm_clones matrixMultSimple           0           0
          0       97094188073284           1           0           0           0           1           0           0           0           0           1 __do_global_dtors_aux matrixMultSimple           0           0
          1       97094188073284           0           0           0           0           0           0           0           0           0           0 __do_global_dtors_aux matrixMultSimple           0           0
          0       97094188073293           0           0           0           0           0           0           0           0           0           0 __do_global_dtors_aux matrixMultSimple           0           0
          1       97094188073293           1           0           0           0           0           1           0           0           0           0 __do_global_dtors_aux matrixMultSimple           1           0
          0       97094188073294           1           0           0           0           0           1           0           0           0           0 __do_global_dtors_aux matrixMultSimple           1           0
          1       97094188073294           0           0           0           0           0           0           0           0           0           0 __do_global_dtors_aux matrixMultSimple           0           0
          0       97094188073307           1           0           0           0           0           1           0           0           0           0 __do_global_dtors_aux matrixMultSimple           1           0
          1       97094188073307           0           0           0           0           0           0           0           0           0           0 __do_global_dtors_aux matrixMultSimple           0           0
          0       97094188073314           0           0           0           0           0           0           0           0           0           0 __do_global_dtors_aux matrixMultSimple           0           0
          1       97094188073314           1           0           0           0           0           1           0           0           0           0 __do_global_dtors_aux matrixMultSimple           1           0
          0       97094188073319           0           0           0           0           0           0           0           0           0           0 __do_global_dtors_aux matrixMultSimple           0           0
          1       97094188073319           1           0           0           0           0           1           0           0           0           0 __do_global_dtors_aux matrixMultSimple           0           1
          0       97094188073324           0           0           0           0           0           0           0           0           0           0 __do_global_dtors_aux matrixMultSimple           0           0
          1       97094188073324           1           0           0           0           0           1           0           0           0           0 __do_global_dtors_aux matrixMultSimple           1           0
          0       97094188073331           1           0           0           0           0           1           0           0           0           0 __do_global_dtors_aux matrixMultSimple           1           0
          1       97094188073331           0           0           0           0           0           0           0           0           0           0 __do_global_dtors_aux matrixMultSimple           0           0
          0       97094188073332           1           0           0           0           0           1           0           0           0           0 __do_global_dtors_aux matrixMultSimple           0           1
          1       97094188073332           0           0           0           0           0           0           0           0           0           0 __do_global_dtors_aux matrixMultSimple           0           0
          0       97094188073357           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          1       97094188073357           1           0           0           0           0           1           0           0           0           0        main matrixMultSimple           0           1
          0       97094188073376          12          11          11          11          12           0          11           0           0           1        main matrixMultSimple           0           0
          1       97094188073376          12           0           0           0           0          12           0           0           0           0        main matrixMultSimple           0          12
          0       97094188073390           1           0           0           0           0           1           0           0           0           0        main matrixMultSimple           1           0
          1       97094188073390           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073399           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          1       97094188073399           1           0           0           0           0           1           0           0           0           0        main matrixMultSimple           1           0
          0       97094188073405           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          1       97094188073405           1           1           1           1           1           0           1           0           0           0        main matrixMultSimple           0           0
          0       97094188073417           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          1       97094188073417          64           0           0           0           0          64           0           0           0           0        main matrixMultSimple           0          64
          0       97094188073429        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple           0        4096
          1       97094188073429           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073435        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple           0        4096
          1       97094188073435           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073443        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple           0        4096
          1       97094188073443           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073451        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple           0        4096
          1       97094188073451           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073467           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          1       97094188073467        4096         251         251         251         251        3845         251           0           0           0        main matrixMultSimple        3841           4
          0       97094188073474        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple        4092           4
          1       97094188073474           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073480        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple           0        4096
          1       97094188073480           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073487        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple           0        4096
          1       97094188073487           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073496        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple           0        4096
          1       97094188073496           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073512           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          1       97094188073512        4096         253         253         253         253        3843         253           0           0           0        main matrixMultSimple        3843           0
          0       97094188073519        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple        4096           0
          1       97094188073519        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple           0        4096
          0       97094188073526        4160           0           0           0           0        4160           0           0           0           0        main matrixMultSimple           0        4160
          1       97094188073526           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073535          64           0           0           0           0          64           0           0           0           0        main matrixMultSimple           0          64
          1       97094188073535          64           0           0           0           0          64           0           0           0           0        main matrixMultSimple           0          64
          0       97094188073542          65           0           0           0           0          65           0           0           0           0        main matrixMultSimple           0          65
          1       97094188073542           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073575           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          1       97094188073575           1           0           0           0           0           1           0           0           0           0        main matrixMultSimple           0           1
          0       97094188073580           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          1       97094188073580           1           0           0           0           0           1           0           0           0           0        main matrixMultSimple           0           1
          0       97094188073595           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          1       97094188073595          64           0           0           0           0          64           0           0           0           0        main matrixMultSimple           0          64
          0       97094188073610           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          1       97094188073610        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple           0        4096
          0       97094188073625      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple           0      262144
          1       97094188073625           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073633      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple           0      262144
          1       97094188073633           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073649      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple      262144           0
          1       97094188073649           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073656      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple      262144           0
          1       97094188073656           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073664      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple           0      262144
          1       97094188073664           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073680      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple      261888         256
          1       97094188073680           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073687      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple      261888         256
          1       97094188073687           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073695      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple           0      262144
          1       97094188073695           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073711      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple      262144           0
          1       97094188073711           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073724      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple      262144           0
          1       97094188073724           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073732      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple           0      262144
          1       97094188073732           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073748           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          1       97094188073748      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple      262144           0
          0       97094188073755      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple      262144           0
          1       97094188073755      262144           0           0           0           0      262144           0           0           0           0        main matrixMultSimple           0      262144
          0       97094188073762      266240           0           0           0           0      266240           0           0           0           0        main matrixMultSimple           0      266240
          1       97094188073762           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073775        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple           0        4096
          1       97094188073775        4096           0           0           0           0        4096           0           0           0           0        main matrixMultSimple           0        4096
          0       97094188073782        4160           0           0           0           0        4160           0           0           0           0        main matrixMultSimple           0        4160
          1       97094188073782           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073795          64           0           0           0           0          64           0           0           0           0        main matrixMultSimple           0          64
          1       97094188073795          64           0           0           0           0          64           0           0           0           0        main matrixMultSimple           0          64
          0       97094188073802          65           0           0           0           0          65           0           0           0           0        main matrixMultSimple           0          65
          1       97094188073802           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073830           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          1       97094188073830           1           0           0           0           0           1           0           0           0           0        main matrixMultSimple           0           1
          0       97094188073840           1           0           0           0           0           1           0           0           0           0        main matrixMultSimple           1           0
          1       97094188073840           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073844           1           0           0           0           0           1           0           0           0           0        main matrixMultSimple           1           0
          1       97094188073844           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073860           1           0           0           0           0           1           0           0           0           0        main matrixMultSimple           1           0
          1       97094188073860           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073861           1           0           0           0           0           1           0           0           0           0        main matrixMultSimple           0           1
          1       97094188073861           0           0           0           0           0           0           0           0           0           0        main matrixMultSimple           0           0
          0       97094188073876           1           0           0           0           0           1           0           0           0           0       _fini matrixMultSimple           0           1
          1       97094188073876           0           0           0           0           0           0           0           0           0           0       _fini matrixMultSimple           0           0
          0      126328550622196           1           0           0           0           0           1           0           0           0           0    .plt.got   libc.so.6           1           0
